Jar_ID,SampleName,ID,Site,Horizon,YearSampled,index_co2,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv,d13c,d14c,d14c_err
13,2-C2-FMW-MA1,MA,Musick,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.333,2.00,,,
14,2-C2-FMW-MA2,MA,Musick,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.297,2.00,,,
15,2-C2-FMW-MA3,MA,Musick,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.298,2.00,,,
16,2-C2-FMW-MB1,MB,Musick,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.168,2.00,,,
17,2-C2-FMW-MB2,MB,Musick,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.153,2.00,,,
18,2-C2-FMW-MB3,MB,Musick,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.124,2.00,,,
19,2-C2-FMW-SA1,SA,Shaver,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.575,2.00,,,
20,2-C2-FMW-SA2,SA,Shaver,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.549,2.00,,,
21,2-C2-FMW-SA3,SA,Shaver,A,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.442,2.00,,,
22,2-C2-FMW-SB1,SB,Shaver,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.218,2.00,,,
23,2-C2-FMW-SB2,SB,Shaver,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.188,2.00,,,
24,2-C2-FMW-SB3,SB,Shaver,B,2009,38,1,,29-Sep-09,2009,9,29,1-Oct-09,2009,10,1,pre,2.00,0.184,2.00,,,
13,2-C2-FMW-MA1,MA,Musick,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.414,6.00,,,
14,2-C2-FMW-MA2,MA,Musick,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.45,6.00,,,
15,2-C2-FMW-MA3,MA,Musick,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.507,6.00,,,
16,2-C2-FMW-MB1,MB,Musick,B,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.189,6.00,,,
17,2-C2-FMW-MB2,MB,Musick,B,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.189,6.00,,,
18,2-C2-FMW-MB3,MB,Musick,B,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.201,6.00,,,
19,2-C2-FMW-SA1,SA,Shaver,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.882,6.00,,,
20,2-C2-FMW-SA2,SA,Shaver,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.792,6.00,-23.41,74.2,2.1
21,2-C2-FMW-SA3,SA,Shaver,A,2009,43,2,,29-Sep-09,2009,9,29,5-Oct-09,2009,10,5,pre,6.00,0.96,6.00,,,
